compactness_C,proximity_P,productivity_R
1.5428285299724551,1.3787501123901194,5.509972677595629
1.5484139790529254,1.333719494492972,4.714613526570048
1.5527311521160523,2.6639199873707455,7.13992673992674
1.5589514305266379,1.9992136133202596,6.805555555555555
1.5611490485306139,1.808012219009492,6.518042813455658
1.5644207474373804,1.7435839997205334,6.390255731922399
1.5648847284114107,1.456443427694287,5.548194444444444
1.5654889724009824,1.9194691136446416,6.619501133786848
1.5663175496970676,2.7344520976010416,7.182575757575757
1.5682584636372128,2.9708577306531936,7.227430555555556
1.5719611302307208,1.3776856595205709,5.136375661375662
1.5760221193977926,3.08162703464934,7.264184397163121
1.5760221193977928,2.0573045468527864,6.923469387755102
1.5778586831261026,1.5758918622358173,5.890855457227139
1.580939101379495,1.3312941458709453,4.726509186351706
1.5824548627422736,1.3303377944731996,4.808905852417303
1.5824979649611204,1.3275744573752402,4.795547073791349
1.5953844897886378,1.9335964883173584,6.754340277777779
1.6050534866964477,1.9085868799204782,6.762395679921453
1.6065640481917738,1.3175827066722317,4.826904761904762
1.6067876701511563,1.4636115889713757,5.621386430678466
1.6090176563802592,2.25449153947298,7.015954835542464
1.6092333134847197,1.3608044441352032,5.252727272727273
1.6167813121408396,2.8424042713385402,7.217908902691511
1.6187222260809846,2.946650819445878,7.229229989868288
1.6206631400211298,2.791117901188696,7.190734989648033
1.624668378614377,1.6228064959688595,6.358687943262412
1.6264858818415648,3.0700035085543234,7.266821946169772
1.62842679578171,3.051337096935157,7.261640211640212
1.633294989762729,1.5218001334797675,5.958814102564103
1.6415695558906926,1.3054464286397074,4.6650137741046835
1.6427349402550402,1.35857274508222,5.1734463276836165
1.6439541073028705,2.8300754289532817,7.212662337662338
1.6464957803197269,1.712157652397068,6.685125448028674
1.6517702201969677,1.4010993095443278,5.670512820512821
1.653101066368858,1.575271288421866,6.088050314465408
1.6542468327430333,1.3587209127428241,5.222685185185186
1.6552114081557114,2.007464264978092,6.9501700680272105
1.6610831439202673,1.3152939754012443,4.7707282913165265
1.6620840079710437,1.6813833471310764,6.413483146067415
1.6622849611820176,1.3787325166658768,5.31889880952381
1.6651372003055296,1.4647592865845178,5.6851666666666665
1.67016813774748,2.0018933406711508,6.859280303030303
1.6779249779236,1.3660644173408842,5.256635802469136
1.679776627632939,1.484776410457983,5.839273927392739
1.6866964077673694,1.514165391298737,5.851618122977347
1.6919686212031255,1.780410413853108,6.705980066445182
1.6995818771389068,1.9724018580246574,6.772222222222221
1.7011895028267041,1.5183345695733523,5.992739273927393
1.713030015501173,1.310522134763869,4.774929971988795
1.7136197270768154,1.3073501950306388,4.75812324929972
1.713711603454354,1.4582144675512194,5.7503401360544215
1.7143755283050903,1.3912255663029387,5.637333333333333
1.7247551985067353,1.495314188684132,5.885166666666667
1.7365572679582364,1.5181068678500822,5.989311594202898
1.745730782039227,1.359435198012535,5.322798742138365
1.7459956478838692,1.8334222824094435,6.790659340659341
1.7524727622674259,1.5359085284840008,6.024908424908425
1.7554131001378277,1.79190954748057,6.769540229885058
1.7583560539671903,1.3051999811611674,4.661594202898551
1.7614339207361454,1.5643939297112845,6.099810606060606
1.7628038726084778,1.6309574584009177,6.461764705882353
1.7648305523917864,1.669456600096484,6.548373983739838
1.7789985861160749,1.5267469484252503,6.005677655677656
1.78124926207899,1.3501901503847258,5.1765223665223665
1.7911994187028695,1.6687510593615655,6.512083333333334
1.7945795204848305,1.3774865833941228,5.5461403508771925
1.7982679202222198,1.5455998214179503,6.241760299625468
1.8062943780573006,1.295237548631666,4.623893805309734
1.8114726250095723,2.1895915975763267,6.974647887323943
1.8145569559698718,2.0506517459336284,6.97359855334539
1.8181429092192793,1.4846763293809788,5.90413815575106
1.8189136353359467,1.6194548498609604,6.268224932249322
1.8214399042739133,1.5341788792372875,6.032345679012345
1.823570492534849,1.9592145409826625,6.907236842105264
1.8272708060928955,1.3799113382450354,5.549290780141843
1.8283871438533212,2.206125993151391,7.024860853432283
1.8347524900256702,1.4607414736821107,5.854885938032006
1.838277668056629,1.3032906462363603,4.721138211382114
1.8425245334869425,1.300133581355332,4.7
1.865691916627482,1.2909530036167032,4.610818713450293
1.8690905632072838,1.3335635482514308,4.829569892473119
1.8700705813297702,1.7040015774499104,6.589048714998082
1.8719652830332454,2.0800039807861537,6.985714285714286
1.881059851209925,1.289792244444675,4.528318584070797
1.8838436052511844,1.290733146383608,4.638218390804599
1.8871228966610447,1.964755569814743,6.945523809523809
1.8917563851870778,1.2839201837052965,4.492792792792793
1.9002716699285336,1.9460481430873122,6.846753246753248
1.906047222657429,1.694073875132047,6.653947368421052
1.9113823309122364,1.2990783730119229,4.642735042735043
1.9116375846233242,1.5023739528501017,6.012854609929079
1.9129347749402692,1.2974810295729216,4.653333333333333
1.916010232777794,1.2982220722511648,4.664896755162243
1.9205204137691876,1.2879413133658209,4.572619047619048
1.9206756724585041,1.293867358657811,4.63834808259587
1.9221020050328903,1.2883382390194182,4.608333333333333
1.922738907873187,1.5451002040822637,6.1067907995618835
1.925107694884003,1.6561911652554215,6.568395493395492
1.9269393597760207,1.2818498577927695,4.546666666666666
1.927117082016323,1.936922994017888,6.833564814814815
1.9284016405697617,1.2808736477052391,4.56036036036036
1.9307584510441038,1.346103474893403,5.0269470404984435
1.930864538018426,1.328598599263696,4.90297619047619
1.931318410553337,1.5251936053986135,6.041757246376812
1.9401745443583431,1.6488816090131102,6.540027151211362
1.9516048759465199,1.3886806339366506,5.66856884057971
1.9517923560012067,2.047144913203216,6.962881608339539
1.9520449646692706,1.7726889690174685,6.692509603072984
1.9739094771275314,2.715471277570581,7.151195049082373
1.977791305007821,2.715941702368604,7.153542466922748
1.9894367886486917,2.7222130764968093,7.155577514273166
1.9921540681648946,1.2821991838449627,4.601376146788991
1.9923130828009548,1.771254998785852,6.761587301587301
1.992557473807357,1.2752485845462125,4.545425310908108
1.9971671715988695,1.482868999282088,5.956874279123414
1.9971671715988697,1.5425531498588274,6.276440329218107
1.9979353535710753,1.3049078206620253,4.741648238242666
1.998065671105481,1.7540666827563982,6.7581320450885665
1.9994805471933266,1.3023361860622793,4.705560511448112
2.0118420961713377,1.2884536900135977,4.645909090909091
2.0183336358581148,1.430952020448397,5.781915072878928
2.024000740936325,1.3268320952573907,5.0015238095238095
2.0317265306702517,1.5394880916911984,6.226476793248945
2.038469372126498,1.3204769348374212,4.957756504663721
2.0409280937666585,1.2752007345339058,4.546069182389936
2.0409280937666585,1.2759581207172386,4.555503144654088
2.048333109397387,1.463988240378406,5.894584785133565
2.051330377628874,1.459251626890076,5.8184082201323575
2.0640919423670554,1.344576106623306,5.154752791068581
2.0736952879326367,1.2719203326115571,4.509861973775017
2.0786019073688498,1.7924272158264016,6.884296122820713
2.0799614255924945,1.3569288690163552,5.257543173672206
2.0826006577756546,2.424706370091856,7.097104247104247
2.083482891384812,2.4147720397741037,7.058084577114427
2.0850239290263684,1.5601956915185875,6.456828703703703
2.0861780285672955,1.2679479325339915,4.477346278317152
2.091471706152392,2.669001738796423,7.165476190476191
2.09554008404329,1.2694057516419743,4.497859098829973
2.0991246548336466,1.3747375564305233,5.499449035812672
2.0992829917029137,2.6049199790682334,7.1703431372549025
2.101855756388205,1.343797469804568,5.202498388136686
2.101855756388205,1.34819733933544,5.223774983881366
